backend	1296	3970628
frontend	285	152339
docs	69	32034
codebase_kg.json	1	22179
fixtures	4	7831
infrastructure	24	2911
exec-review	9	2873
k8s	29	2710
tasks	11	2175
.github	11	1894
specs	6	669
README.md	1	668
scripts	7	668
alembic	1	553
docker-compose.prod.yml	1	371
docker-compose.yml	1	256
Makefile	1	207
nginx	2	180
CLAUDE.md	1	101
docker-compose.fhir.yml	1	93
.pre-commit-config.yaml	1	87
.gitignore	1	75
.env.example	1	57
skills	3	44
.secrets.baseline	1	43
docker-compose.dev.yml	1	31
.claudeignore	1	28
.cursorindexingignore	1	25
test_note.json	1	5
