module	api_exists	service_exists	schema_exists	test_exists	completeness_4	api_loc	service_loc	schema_loc	test_loc	endpoint_count	auth_endpoint_count	unauth_endpoint_count	service_classification	test_function_count
data_lock	True	True	True	True	4	632	1215	423	360	34	0	34	db_backed	57
clinical_monitoring	True	True	True	True	4	640	1548	466	374	33	0	33	db_backed	57
clinical_ops_metrics	True	True	True	True	4	561	1505	426	1354	33	0	33	db_backed	140
dsmb_management	True	True	True	True	4	574	1106	564	1480	32	0	32	db_backed	130
supply_forecasting	True	True	True	True	4	564	1222	425	1339	30	0	30	db_backed	133
language_services	True	True	True	True	4	546	800	534	1074	30	0	30	db_backed	103
ancillary_study	True	True	True	True	4	599	1147	523	1331	29	0	29	db_backed	120
payment_reconciliation	True	True	True	True	4	527	1361	437	1102	29	0	29	db_backed	103
inspection_readiness	True	True	True	True	4	498	1184	475	1348	28	0	28	db_backed	129
trial_insurance	True	True	True	True	4	527	1129	487	1471	28	0	28	db_backed	133
lab_certification	True	True	True	True	4	539	1192	515	1530	27	0	27	db_backed	140
sae_reporting	True	True	True	True	4	505	1328	371	307	26	0	26	db_backed	39
study_closeout	True	True	True	True	4	569	1485	614	1208	26	0	26	db_backed	109
country_regulatory	True	True	True	True	4	468	643	287	1491	26	0	26	db_backed	153
central_irb	True	True	True	True	4	509	1046	513	1320	25	0	25	db_backed	105
medical_monitor	True	True	True	True	4	449	1157	501	1124	24	0	24	db_backed	100
ip_accountability	True	True	True	True	4	443	1168	465	1247	23	0	23	db_backed	113
patient_stipend	True	True	True	True	4	451	1130	344	1357	23	0	23	db_backed	132
site_initiation	True	True	True	True	4	430	1050	404	1317	22	0	22	db_backed	130
data_queries	True	True	True	True	4	420	1378	418	1509	22	0	22	db_backed	123
protocol_feasibility	True	True	True	True	4	431	1313	474	1228	21	0	21	db_backed	108
data_transfer	True	True	True	True	4	375	637	243	1402	20	0	20	db_backed	144
vendor_qualification	True	True	True	True	4	358	749	230	1380	19	0	19	db_backed	137
risk_management	True	True	True	True	4	351	856	255	1277	19	0	19	db_backed	147
document_management	True	True	True	True	4	341	539	205	1196	18	0	18	db_backed	125
